k,model_name,accuracy,correct,total,time_sec
5,mistralai/mistral-7b-chat,0.70675799086758,7739,10950,5.781810998916626
10,mistralai/mistral-7b-chat,0.8043835616438356,8808,10950,5.650351047515869
40,mistralai/mistral-7b-chat,0.8517808219178082,9327,10950,5.727981090545654
5,WizardLM/WizardLM-13B-V1.2,0.7636529680365297,8362,10950,5.594249963760376
10,WizardLM/WizardLM-13B-V1.2,0.7365296803652968,8065,10950,5.591139078140259
40,WizardLM/WizardLM-13B-V1.2,0.8323287671232876,9114,10950,5.773770093917847
5,mistralai/mixtral-8x7b-chat,0.7780821917808219,8520,10950,5.663942813873291
10,mistralai/mixtral-8x7b-chat,0.8087671232876712,8856,10950,5.655992031097412
40,mistralai/mixtral-8x7b-chat,0.8473972602739726,9279,10950,5.822319746017456
5,zero-one-ai/Yi-34B-Chat,0.7501369863013698,8214,10950,5.603348016738892
10,zero-one-ai/Yi-34B-Chat,0.7878538812785388,8627,10950,5.6243531703948975
40,zero-one-ai/Yi-34B-Chat,0.8375342465753425,9171,10950,5.748143672943115
5,claude-instant-v1,0.7510502283105023,8224,10950,5.739876985549927
10,claude-instant-v1,0.8028310502283105,8791,10950,5.80761981010437
40,claude-instant-v1,0.8469406392694064,9274,10950,5.919255971908569
5,gpt-3.5-turbo-1106,0.7642009132420091,8368,10950,5.999116897583008
10,gpt-3.5-turbo-1106,0.7911415525114155,8663,10950,6.0482871532440186
40,gpt-3.5-turbo-1106,0.8391780821917808,9189,10950,6.221240043640137
5,gpt-4-1106-preview,0.7212785388127854,7898,10950,5.882560968399048
10,gpt-4-1106-preview,0.7582648401826484,8303,10950,5.904689073562622
40,gpt-4-1106-preview,0.831324200913242,9103,10950,6.046953916549683
5,meta/llama-2-70b-chat,0.7331506849315068,8028,10950,5.7677388191223145
10,meta/llama-2-70b-chat,0.7746118721461187,8482,10950,5.824965953826904
40,meta/llama-2-70b-chat,0.8493150684931506,9300,10950,5.966325998306274
5,meta/code-llama-instruct-34b-chat,0.7942465753424658,8697,10950,6.079980134963989
10,meta/code-llama-instruct-34b-chat,0.8163470319634704,8939,10950,6.279590129852295
40,meta/code-llama-instruct-34b-chat,0.8470319634703196,9275,10950,6.2347190380096436
5,claude-v1,0.7804566210045663,8546,10950,5.6717610359191895
10,claude-v1,0.7807305936073059,8549,10950,5.467430830001831
40,claude-v1,0.8447488584474886,9250,10950,5.688279151916504
5,claude-v2,0.759269406392694,8314,10950,5.623985052108765
10,claude-v2,0.7968036529680366,8725,10950,5.672075986862183
40,claude-v2,0.8492237442922375,9299,10950,5.916879177093506
